age_bin,type,mean,ci_dev,ci_upper,ci_lower
6,child_given_child,0.06775594709763275,0.002761708635890535,0.07051765573352328,0.06499423846174221
6,child_given_parent,0.04674626328001735,0.0010105312229232184,0.04775679450294057,0.045735732057094136
6,parent_given_child,0.007881483371236283,8.131756135925538e-4,0.008694658984828837,0.007068307757643729
12,child_given_child,0.2850155605693636,0.002115644959093232,0.28713120552845683,0.2828999156102704
12,child_given_parent,0.13468978481799848,8.107224053045209e-4,0.135500507223303,0.13387906241269396
12,parent_given_child,0.155024169642094,6.768425920947798e-4,0.15570101223418878,0.15434732704999923
18,child_given_child,0.17390081554414877,7.023278570533324e-4,0.1746031434012021,0.17319848768709545
18,child_given_parent,0.11188417187270051,3.9299010966248717e-4,0.112277161982363,0.11149118176303803
18,parent_given_child,0.15030617289621248,3.687967886075109e-4,0.15067496968482,0.14993737610760496
24,child_given_child,0.12177902166254576,4.165394080144172e-4,0.12219556107056018,0.12136248225453133
24,child_given_parent,0.08663370359318114,2.442196664192666e-4,0.0868779232596004,0.08638948392676186
24,parent_given_child,0.13284031353394676,2.7906229887394524e-4,0.1331193758328207,0.1325612512350728
30,child_given_child,0.12001650386908683,4.7443813267059146e-4,0.12049094200175742,0.11954206573641624
30,child_given_parent,0.08644818237022309,2.749914952067995e-4,0.08672317386542988,0.08617319087501629
30,parent_given_child,0.1232134806353376,3.0285462796705485e-4,0.12351633526330466,0.12291062600737054
36,child_given_child,0.09550835037423616,3.3692733492479937e-4,0.09584527770916096,0.09517142303931136
36,child_given_parent,0.07262364883220375,2.1962538948639134e-4,0.07284327422169014,0.07240402344271736
36,parent_given_child,0.10307264272382552,2.5172535256471804e-4,0.10332436807639024,0.1028209173712608
42,child_given_child,0.08917645724439544,3.792773692287942e-4,0.08955573461362423,0.08879717987516664
42,child_given_parent,0.07508406258050132,2.9472524753607564e-4,0.07537878782803739,0.07478933733296525
42,parent_given_child,0.09520997840610368,2.947930650209325e-4,0.09550477147112461,0.09491518534108274
48,child_given_child,0.08846548042706696,3.7682809588770864e-4,0.08884230852295467,0.08808865233117925
48,child_given_parent,0.07151121184640317,2.485495097380777e-4,0.07175976135614125,0.0712626623366651
48,parent_given_child,0.09130208070900675,2.558005070471458e-4,0.09155788121605389,0.09104628020195961
54,child_given_child,0.05323301644293256,3.015814986028779e-4,0.053534597941535436,0.05293143494432968
54,child_given_parent,0.04878213277775697,3.0591767305253255e-4,0.0490880504508095,0.048476215104704436
54,parent_given_child,0.05977284267868426,3.062444456518497e-4,0.060079087124336114,0.05946659823303241
