transcript_id,speaker_role,entropy,age_in_months,age,entropy_random
2765,Parent,5.555694190470309,26,26.526212037208154,5.25215161029598
2765,Target_Child,4.74185865000888,26,26.526212037208154,4.800961249053363
2766,Parent,5.390986681804393,26,26.75619622579519,5.678211452236643
2766,Target_Child,4.786768174794974,26,26.75619622579519,4.873002632890012
2767,Parent,4.939224862481499,27,27.06626419433664,5.586992781943444
2767,Target_Child,4.901083190058087,27,27.06626419433664,4.325251637473566
2768,Parent,5.349626489875796,27,27.526232571510707,5.165449289485073
2768,Target_Child,5.0245227255355775,27,27.526232571510707,4.065240877221991
2769,Parent,4.781501955025562,27,27.690506991930018,5.112785654940051
2769,Target_Child,4.807475377577707,27,27.690506991930018,4.805241945254762
2770,Parent,5.133194714200224,27,27.920491180517054,5.254089526614121
2770,Target_Child,5.422436090769725,27,27.920491180517054,4.602798082396668
2771,Parent,5.274409527897584,28,28.131994496806914,4.876624025176548
2771,Target_Child,4.945308874063521,28,28.131994496806914,4.603111395725046
2772,Parent,5.186172896370423,28,28.657672642148707,5.5255865226068925
2772,Target_Child,4.629631075528164,28,28.657672642148707,3.286641893548391
2773,Parent,5.662362006671536,28,28.821947062568018,4.6709856598819535
2773,Target_Child,5.041680334354423,28,28.821947062568018,5.424184429010993
2774,Parent,5.0529208789589095,29,29.066305262941743,4.64009048552113
2774,Target_Child,5.014024461558167,29,29.066305262941743,5.18577579495639
2776,Parent,5.227538064969772,29,29.526273640115814,5.381705370094988
2776,Target_Child,5.264719574362134,29,29.526273640115814,4.860229809028157
2777,Parent,5.015102549159917,29,29.756257828702847,5.480008504787021
2777,Target_Child,5.26402999230206,29,29.756257828702847,4.9592987728804605
2778,Parent,5.294025579720611,29,29.986242017289882,5.392537567363369
2778,Target_Child,5.317711971981084,29,29.986242017289882,4.755924332299466
2780,Parent,5.762139150280709,30,30.88769789934085,5.155766232187109
2780,Target_Child,5.380915053071977,30,30.88769789934085,4.63711290538438
2782,Parent,5.662632745339913,31,31.592024476888643,5.235576938527592
2782,Target_Child,5.274368496617164,31,31.592024476888643,5.108131440182
2784,Parent,5.974472720894288,32,32.099221749933264,5.652530639634107
2784,Target_Child,5.049293796656161,32,32.099221749933264,5.051283012715661
2786,Parent,4.874686138097942,32,32.49348035893961,5.441799593507918
2786,Target_Child,5.051283012715661,32,32.49348035893961,4.87094533448446
2787,Parent,5.580428768905685,32,32.65775477935892,5.812980726669631
2787,Target_Child,4.9212116805242685,32,32.65775477935892,5.144179451242363
2789,Parent,5.069120713558866,32,32.95344873611368,5.649866404465212
2789,Target_Child,5.215234200607211,32,32.95344873611368,5.05318186865006
2790,Parent,5.779844501053625,33,33.03353251606809,5.6995545622798645
2790,Target_Child,5.4663338472377605,33,33.03353251606809,4.897703321457818
2791,Parent,5.552858462367363,33,33.32922647282285,5.800614802400563
2791,Target_Child,4.919368031212579,33,33.32922647282285,5.032345850809382
2792,Parent,5.4111243251692285,33,33.62492042957761,5.3126603706918925
2792,Target_Child,4.718860773147568,33,33.62492042957761,4.663309630982692
2795,Parent,5.422724210696332,34,34.0664079344545,5.556441199600089
2795,Target_Child,5.270230300494664,34,34.0664079344545,4.962512976451588
