age_bin,speaker,prior_topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,row_sum
6,child,topic_1,0.01106119059260901,0.008633866491651578,0.005315316810982091,0.021616028214253888,0.007691724300763234,0.0014616452739543932,0.0016799191765080508,0.001528041058967367,0.016038790479816562,0.004703202113799681,0.026873173223399393,0.8824976766175798,0.0010211119165725686,2.23554058859676e-4,0.009654759670282783,98.00242513916578
6,child,topic_10,0.002902003314323348,0.007423691658767506,0.0037209870093484216,0.00861297368517253,0.006493819156075143,7.977999368219134e-4,0.0014133679184999489,0.0022923040995161594,0.010466618062671261,0.00977329672913106,0.028192025493513774,0.9098553395068024,8.758982142778293e-4,2.053946099175265e-4,0.0069744806051611884,86.20536382938654
6,child,topic_11,0.0026243413989773304,0.06564395145470822,0.007490717074000806,0.009969445422543877,0.00912609556640286,0.0025668845980825325,0.001400818508574435,0.006435488660548575,0.012415575905913556,0.010728488919449018,0.15371983872923065,0.7046582757751859,0.0017369588210065393,8.625244406202721e-4,0.010620594724755482,17.850158232955717
6,child,topic_12,0.00320252696431556,0.006516624990222551,0.006761636961567274,0.009331298916269022,0.006349921813970157,9.110805700113107e-4,6.294240524529601e-4,0.0018922519567526478,0.006670358564433377,0.004402693897703366,0.014156504858588086,0.9335170886018522,4.935868255187268e-4,1.9177868595643302e-4,0.004973222340386378,458.1913197947282
6,child,topic_13,0.004268902777520452,0.06560005149700318,0.0029087228847925616,0.012886087610803952,0.008191962342282774,0.0021025156214323345,0.002079050953592747,0.0016944289982829038,0.008724975748517692,0.007214419158934045,0.03641718450509603,0.8378484637292101,0.003363101196714597,3.900194274575371e-4,0.006310113548359122,9.473602344880758
6,child,topic_14,0.0021420626851617855,0.013568913920275356,0.004565315797314857,0.007349161363197817,0.003285742048503613,7.209351189456304e-4,4.2301776490567627e-4,4.3846333214073705e-4,0.038631918263519534,0.0020751329016825996,0.010831044768672995,0.8541051310760587,0.0027939728681060398,8.713320362349842e-4,0.05819785605527966,8.489762089259688
6,child,topic_15,0.005221728853164223,0.006079639937469782,0.006491249420569093,0.018560624543406914,0.008118208339855743,9.309787196639906e-4,8.204401260193557e-4,6.811015086118822e-4,0.011595189754374208,0.002568177128994935,0.01109241079826313,0.9033767694027669,9.177568297874321e-4,3.7258834759425614e-4,0.023173136289458232,97.89398640622524
6,child,topic_2,0.0018696060420277925,0.06597715679690537,0.002804668062267695,0.008664131500408909,0.006934978599136565,0.0011363988601040722,8.867689727587999e-4,0.0024414482010797515,0.01084113525749213,0.005246938676223228,0.062464275040816815,0.824850539330575,0.001017496723343358,3.519743164816811e-4,0.004512483620378853,86.97232277399561
6,child,topic_3,0.0026007364896909794,0.018317518736757354,0.01944809986655648,0.007472420148782912,0.006213488812136101,0.0014046992760700012,0.0013332069596602263,8.309113677933541e-4,0.007025550924177725,0.001809860432055744,0.01692881972470515,0.9126244120325042,5.703229069847982e-4,3.278508374314805e-4,0.003092101484693477,16.58122711401248
6,child,topic_4,0.0058392672071991706,0.008617304105978055,0.003470118824009337,0.023677764906387722,0.006973570433614348,0.002329324586203934,0.0018216357077735837,0.003420279389833018,0.01817565310505639,0.003720441210731018,0.032458350541622286,0.8801703245892097,8.499858720777372e-4,2.2219838705549055e-4,0.00825378113324815,175.59526837057416
6,child,topic_5,0.0038396764755392458,0.010531477382995319,0.002978808179629008,0.011667475446855376,0.01468902987958859,6.774157531672255e-4,7.715863417092931e-4,0.0026721181520012204,0.009984560468253594,0.0030056628155022296,0.014141148554154867,0.9175338918605512,6.856779534640757e-4,2.2510904111889315e-4,0.0065963616954697905,223.66487775909465
6,child,topic_6,0.008692359020679488,0.004561344120508176,0.0030483976897352875,0.0188660508823035,0.005178457438635541,0.005746625272773226,0.002568223866225874,0.001570186687458874,0.011485364277660882,0.0022800940713428772,0.06709938224414706,0.860227582708252,8.624814693386925e-4,2.2531524839260734e-4,0.007588135002545945,36.33665845982878
6,child,topic_7,0.013007589469646388,0.011107460460868301,0.004044042936869059,0.024247079423034716,0.008039398236250604,0.0027599153165278633,0.010299740246856997,0.002711433835174194,0.016810977152435076,0.004426679341720535,0.03455517616733211,0.85845689194272,0.0010093936117051964,1.5613909165711654e-4,0.0083680827672019,22.265884631968845
6,child,topic_8,0.0018442753557600937,0.006948684015708773,0.0052975205284322355,0.01281811088493511,0.008944878487343827,0.002009991735027944,0.005153974530879514,0.00997542320482404,0.008103159704315011,0.007278170551983066,0.037729583322647475,0.8902833680056049,4.8539816746150425e-4,1.654479897031756e-4,0.0029620135153732245,37.27272209931953
6,child,topic_9,0.003671644038142657,0.015878440763587513,0.0034532880395435027,0.011757557388822596,0.00588330527724513,0.001412834227242349,0.0010425975032389843,0.001146887944375348,0.021814444735273757,0.003488169228759718,0.024184636748909197,0.8957682625901314,8.239385339048412e-4,2.950360858102963e-4,0.009378956895012726,203.41674636263664
6,child_self,topic_1,0.008609825643427124,0.008094861166628959,0.002969521250724344,0.026674890216396848,0.007424510209581897,0.004935141280945958,0.004555851289449215,0.0018044023441494907,0.012466633052244387,0.007155940532903392,0.024894385725950412,0.8803870832563861,0.0012401514142750326,1.5210718469957412e-4,0.00863469543223727,7.4147731456377795
6,child_self,topic_10,0.003595102502871445,0.0277117960650882,0.010909596005262798,0.01259593517123712,0.026765593883372067,0.0026968286689724994,0.005508626046230165,0.006353598182846539,0.01164594148225574,0.07153441620715106,0.10783137944647397,0.6678406702291163,0.0014336888907602742,0.0010209978140047293,0.042555829404356975,6.797353829515242
6,child_self,topic_11,0.004056416679336212,0.09391331349284532,0.008128119397685207,0.02269982248041738,0.022039776941132586,0.006485889738137047,0.004078924337204845,0.016191581986393425,0.013773552878152216,0.017455149262766936,0.5054097061376642,0.2731042053067541,0.0018051623087450336,0.001166921462431776,0.009691457590333682,36.9301765906631
6,child_self,topic_12,0.004085695089981088,0.007617689912337452,0.006506166250576845,0.012473628890858724,0.006773076716351668,0.0010775676157790085,8.607288040377089e-4,0.0018526756959419673,0.010873613191200407,0.0032189108441315426,0.008462795904268228,0.9287733194326826,7.188150431171813e-4,2.1438412762642782e-4,0.006490932481109141,1386.4204116134556
6,child_self,topic_13,0.0035750559108901686,0.06318413790561898,0.011101272317178553,0.01567286133516507,0.006321225054247403,0.0012559854791194963,0.0023126047237355895,0.0032374195203748886,0.014203558614734327,0.00709657692196247,0.0361723489741712,0.8109316020510606,0.0029739011098546967,4.1620787279066546e-4,0.021545242209095823,1.446883030581841
6,child_self,topic_14,0.0027145341890361754,0.06012422888190874,0.0033199103835822347,0.012950393595217952,0.012139864287704338,0.0019182368454848775,0.0029369548540122757,0.002440020682046158,0.024481902511949143,0.011445096581793551,0.09254180038385515,0.7534801031824696,0.002071979351893156,0.003500390076989658,0.013934584192057047,0.41231694840374505
6,child_self,topic_15,0.003688792229121441,0.02533460084381088,0.0031897908806555668,0.014046672322362877,0.026441756569960995,0.001914659168549853,0.0013436640304680433,9.487382573786043e-4,0.022740356184908123,0.016879073059957023,0.016495108110507712,0.8078238160938522,0.004460833999698692,4.1243243589966447e-4,0.05427970581286821,12.42889036760502
6,child_self,topic_2,0.002927924631960129,0.21182194379153121,0.009843593114519976,0.020306427229762468,0.015403260718278548,0.0035919510070710164,0.002577003456715722,0.006793979435301562,0.056745527670125175,0.008776868037225652,0.17884172072530358,0.4559254594401584,0.002942975385945973,0.0015881572113660499,0.02191320814473462,20.95494348611621
6,child_self,topic_3,0.0024104021888131967,0.011608020827476416,0.00930679260225658,0.038364867113944566,0.005792843955974866,0.0010404410401480017,8.621448105435254e-4,0.008265711588695181,0.008208115373045872,0.0027194593756158457,0.015614423414149948,0.8897801387583466,6.143758215449467e-4,3.955497479382213e-4,0.00501671338150622,7.768850108762319
6,child_self,topic_4,0.01581169476239481,0.013029597633362682,0.003965063779830402,0.029458528208897158,0.007374144503384908,0.003705595332501595,0.002997618631477451,0.001996928303379294,0.024786183971506365,0.006435484456497475,0.033172902037543556,0.8465002035305828,0.002054420054913707,2.6150739017942915e-4,0.008450127403548474,22.182624819004122
6,child_self,topic_5,0.005412284185760454,0.01604084828631885,0.005408520458981521,0.017507782919121223,0.014421519498068311,0.0030824651212244974,0.004708121257773954,0.00294496413631865,0.010294238173875866,0.011487857447615511,0.060913362109061335,0.8330014084009474,0.0019719677024112228,4.333956396423969e-4,0.012371264662878833,13.431656878806937
6,child_self,topic_6,0.0055989976954913,0.017478666297110555,0.0061789252239634745,0.01607228105638915,0.011667466792374893,0.006171057762949267,0.005283417164959355,0.007345057017327911,0.012279921813822781,0.012481044642553405,0.16129518533684117,0.729288158633267,0.0011458063101907753,3.217566450749164e-4,0.007392257607684048,2.2825242130573007
6,child_self,topic_7,0.010973151043468833,0.015269802691454242,0.005557128780021236,0.017212532290474657,0.013070029462894643,0.0042939453566181165,0.0059858985870210385,0.005079014612922762,0.01917057053271685,0.11934439465323683,0.14003935077146462,0.6309566972613817,0.0011070227080711048,4.926333471615778e-4,0.01144782790109183,2.1352413275073863
6,child_self,topic_8,0.005924397628167141,0.030093297847965723,0.0036589453500236084,0.028392854168040136,0.008061788560987758,0.0034915387210438338,0.003535835421347954,0.00939087927022644,0.009134380083236698,0.034863987469334,0.15767529893066726,0.6899825148935737,0.0026989935254544866,2.796451985682764e-4,0.012815642931363067,3.9943688502628194
6,child_self,topic_9,0.0048448205818220685,0.021397797514908123,0.004379457470672359,0.02321726879054515,0.008515027371482868,0.0018529510806939704,0.0015163191997997828,0.001664003539052677,0.028856634253109612,0.0036661218017835823,0.027210723947350857,0.8499957365654235,0.0016654210972681398,3.05767408047481e-4,0.020911949378039817,21.474047562192
6,parent,topic_1,0.246398137855984,0.030300286344211284,0.0035379500614633424,0.11334183291057627,0.09633201556649931,0.025119309735096327,0.021146089882832945,0.017610063117445278,0.10072685062685216,0.03916862655538568,0.007332840657848093,0.23351043381686168,0.0050589915330105425,0.005134587605849233,0.05528198373008389,6.516337690536095
6,parent,topic_10,0.03002731396487878,0.0698231379943067,0.004740181771475674,0.084322083717079,0.11273910100268951,0.00938537926007991,0.010415838853969087,0.01907567025789901,0.09034107550840184,0.16665383001791448,0.038233089940505637,0.31870105706737595,0.004886924233356252,0.003613234172606355,0.03704208223746178,6.760831867179934
6,parent,topic_11,0.04829127527323577,0.12952449800127377,0.007076207948549035,0.1214296495626164,0.08427656081347659,0.0302765482284439,0.01654653569845024,0.047220890132602465,0.10471541363818737,0.06319124582487222,0.12248809455645082,0.1919699894448996,0.009579861686099492,0.002455979957403636,0.0209572492334387,36.82707262041196
6,parent,topic_12,0.054887733447591215,0.043834750768583695,0.010097412920509358,0.09853477053854201,0.1244681334013675,0.021050780384274707,0.012790299566320823,0.020652524713204126,0.10585260853832708,0.04620319102798545,0.008197379301352996,0.38485417718787307,0.004673254657338396,0.005137803097946995,0.05876518044878257,1358.7571921458446
6,parent,topic_13,0.06351014572133218,0.10579715014860847,0.005901774866839795,0.14043234590972906,0.10004289971945451,0.026922689949881774,0.023206622221107604,0.013448103338389032,0.1114891184008836,0.06760411689580496,0.028063751189367665,0.14919745441858548,0.08240243265866956,0.02447338196457869,0.057508012596767535,1.1995245552997622
6,parent,topic_14,0.04578483004414392,0.08297605413738263,0.013459668704040124,0.08521168989356374,0.15434278530874915,0.019374795635666794,0.011605176919618806,0.019168050843904737,0.15529029437489775,0.04337836005734954,0.030925003989620725,0.2283430464341315,0.004729837984804232,0.05082280506155574,0.05458760061057066,0.4058413253888652
6,parent,topic_15,0.04013437269542099,0.04939543741003603,0.0027948334882585114,0.08573399542793596,0.1558445845382235,0.034614694896999726,0.008984711878329641,0.012501549063209747,0.09695179808426047,0.05639350573765752,0.021144279559853887,0.20803247250021867,0.0026939338383581697,0.0065721070822521675,0.21820772379898498,11.854062865149725
6,parent,topic_2,0.04889946269537618,0.3402135140784159,0.014981213150047596,0.06847027784038338,0.10470946923115532,0.010561109996963023,0.011006217890571823,0.01412105233982992,0.11716090858885743,0.028860479824813507,0.06325540475088945,0.128667767375179,0.0069354107621341825,0.004861297026263898,0.03729641444911936,21.06151867197123
